RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
395229,174,"Wilmington, NC",NC,299933,303663,306996,309818,306605,303138,306650,307817,312950,313283,318300,319967,320167,323467,326800,329600,329633,331333,336667,339167,339333,337633,336633,341433,344767,349933,350575,353608,353608,353000,350417,350383,352050,351600,348850,345517,343550,346000,350817,354483,359817,359667,364633,368050,376717,379583,384167,384167,390833,402833,417800,428283,431617,438317,450000,458000,457981,459315,461281,461300,454967,458333,473333,485000,492667,494000,499000,499300
395061,175,"San Luis Obispo, CA",CA,691167,695167,703833,710967,714300,707967,701583,691583,683583,676333,673300,673300,671300,678833,682167,688833,691000,695667,699000,695150,695450,697450,701300,701300,699633,704933,711633,719967,730650,741483,759483,760167,764333,763817,773483,784817,788667,805667,805967,810450,800450,800150,800817,826150,856483,888000,901333,904333,903000,906333,915000,923000,913000,904333,897667,895667,895629,894296,897629,894333,904333,903333,923667,932000,950000,960833,973833,986333
753875,176,"Crestview, FL",FL,391550,394583,394417,397667,397667,399000,399333,399667,403000,411333,418000,424986,432986,444319,454167,457667,461333,464500,471300,479950,486783,491283,490633,492467,491000,491300,492933,495767,495800,492467,486633,476300,462967,457633,451050,449417,441403,453320,463320,483000,499667,517967,531600,536267,537967,536333,523267,519933,524600,546333,564667,588333,607917,614583,612917,605000,604333,593083,581083,576717,582800,599800,620483,637317,648983,655833,659167,659133
394851,177,"Merced, CA",CA,289383,287750,290741,293558,299213,300121,300605,300447,299881,298247,295125,295692,300692,307483,312167,315167,317633,319633,318300,313315,309982,308398,306750,306750,306667,315000,323333,331633,333267,331100,329433,327800,326633,329967,338200,346517,348217,348283,354958,364958,375925,382567,387517,389917,393283,400000,405000,413000,421333,436000,444633,444633,436633,428333,426333,426333,423750,422417,422383,428300,431132,429498,430832,431333,436165,436498,436498,433333
395197,178,"Waco, TX",TX,199917,201300,208267,210600,212083,207083,204758,203275,203308,200000,200000,203000,209633,216130,219797,221497,224667,226832,226798,224132,223600,223633,224967,223333,223333,225817,234983,241650,243833,241300,237967,236600,233267,231600,228267,226633,231633,239667,248000,253000,256633,259933,256600,256600,261633,266633,263333,258333,263300,274967,287967,294633,306267,308267,308267,296633,288300,281333,279633,278300,278633,283833,287500,294133,295600,299900,299917,299617
394447,179,"Cedar Rapids, IA",IA,186608,194133,200800,203442,200942,194275,189133,187467,188833,192900,197867,202617,206017,212683,214933,217967,217733,217700,213000,205933,199633,196333,194967,196267,197600,199617,199617,202200,205217,205250,201333,196833,192167,188833,180333,180167,181167,186167,184333,180000,178308,176975,178608,173633,173300,171633,173267,171600,176600,183967,191967,198633,200967,202633,196000,194667,191333,188000,182983,178283,174950,173300,180000,194967,209633,216300,214333,211317
394348,180,"Atlantic City, NJ",NJ,229226,229633,233267,236600,241233,241233,242933,241600,241600,239900,239600,239300,240967,242933,246267,246450,244817,241783,238267,236017,234283,230983,229800,229533,232867,235300,235633,236967,237933,239617,243250,246583,248933,246950,243317,242133,243817,247450,252933,259600,266967,270000,272000,274333,276333,274000,272666,273333,275667,279667,286950,298767,303067,303450,299933,299933,299600,299050,299050,299383,299966,305000,313316,329800,348117,364800,376650,376650
394412,181,"Bremerton, WA",WA,358283,372442,387450,397133,399308,399283,399383,396050,389083,382667,381333,393300,405767,417433,429033,437233,447233,443667,446000,443483,445483,439133,427983,419650,419667,439667,457667,466813,465480,457463,454983,449650,438000,427967,417400,429042,439075,458308,472000,490167,496992,499658,506492,516333,521633,519633,510633,514000,529333,559967,584966,588300,581666,573325,568325,561633,553275,542275,533967,525667,533333,545833,569167,577500,589667,591000,595933,589600
395103,182,"Sioux Falls, SD",SD,233350,236350,237183,236400,235067,232308,229675,227208,227467,229100,231233,232567,234233,236233,237817,239483,238500,238917,239917,240900,242567,241567,241567,239900,241567,243233,245767,247067,248733,248355,247355,245688,245867,246567,244933,245933,248300,,263283,268250,269850,268200,264900,261650,261617,264917,268667,271933,281933,291500,304767,314767,323133,326600,323300,321600,319933,318233,324900,336567,351600,358300,356667,353333,349967,349933,348267,344867
395065,183,"Santa Cruz, CA",CA,885333,890667,893000,902500,903833,904833,898667,895333,895667,894333,897667,897667,899000,915667,942333,956667,948633,921967,907967,899333,899650,899650,892983,890498,900132,906798,925633,935667,965629,997277,1007233,1006437,990252,990130,961130,941000,944667,977833,1049167,1099333,1133000,1087500,1052167,1078833,1139000,1159500,1132500,1132167,1163667,1213629,1247963,1280963,1289667,1275500,1274167,1272167,1286333,1279667,1256000,1217667,1225667,1259333,1297667,1289667,1273333,1241333,1216000,1197738
394572,184,"Erie, PA",PA,131633,134967,139967,141600,140933,137600,135933,134933,134900,134900,134900,134933,138267,141633,148267,151600,154767,152133,147133,142133,138133,136467,133467,133450,135117,141283,147267,153633,157967,160000,158300,150933,142933,136467,134667,132967,134800,138950,145617,152250,156600,156600,153267,149933,149633,146300,142950,143250,149917,159900,169750,176417,178117,176633,171667,171667,171667,171667,168333,166633,171300,182933,187967,194933,191600,196567,196567,199583
394924,185,"Norwich, CT",CT,249333,262667,274633,281633,285783,287150,284117,281300,277933,274600,271267,271633,276167,281500,289067,293733,295367,294100,291267,287933,282633,282633,280967,277933,274900,278250,284917,288283,290967,292817,293817,292783,293967,289600,282933,279917,286583,293250,296567,296567,299933,298967,299000,299000,299966,296600,289933,283450,280116,289783,302933,319600,328267,334633,337667,336000,333000,329967,329633,329600,332967,342967,353817,367117,371750,367600,357600,349967
394323,186,"Amarillo, TX",TX,208833,210633,212633,215933,218267,219750,218117,216742,215831,217464,217206,215346,214790,216424,220659,222882,223082,221971,220338,220138,218267,216575,212608,210975,215667,225666,237000,240633,239608,236608,234942,238300,241633,245667,246305,249638,252305,254633,254633,251300,246667,240000,238317,238283,239917,239933,236267,237417,240750,245450,246000,244967,248967,250383,248083,246417,246667,246633,241633,237967,236317,241316,246650,255833,262467,264133,264967,261666
394772,187,"Laredo, TX",TX,185182,185515,185945,185630,185330,185000,183333,180633,178633,178633,180333,180633,180600,179933,181633,183333,185000,183233,181567,181567,183333,185000,185000,186167,187583,190917,194083,195633,195633,195617,200483,205300,208400,207217,204650,205567,208883,213267,214900,217683,221050,224383,224933,224933,224933,224967,226633,228083,230417,232833,234750,237383,238300,239933,239800,239050,238917,238417,239150,239317,239983,239933,241933,245233,245467,243467,238833,238633
395171,188,"Tuscaloosa, AL",AL,182600,188005,190338,194626,199054,202388,205800,202600,202849,200149,200149,200733,200733,205767,209933,215598,217015,222015,226350,229267,227600,223288,218420,218920,226565,235133,237983,238317,240283,243266,243933,242233,242567,241600,241133,239467,239883,243683,246383,249267,249267,248567,246750,243417,241417,238267,234543,231243,236243,249817,266150,273633,274983,273650,272800,271633,266633,263300,256283,257917,261283,268450,273450,273433,273250,268250,264900,263567
394483,189,"College Station, TX",TX,268300,266667,264000,263167,261817,264250,266717,267050,265617,263933,261583,258233,255950,256783,256800,257433,258267,261600,263300,265733,265733,264033,259267,254233,250900,251550,252583,253600,251983,250950,249933,248267,246633,245809,243809,241250,238742,244075,253300,265000,276333,281000,287667,288000,293333,289967,286600,288267,293300,305667,314000,324603,328937,327260,332988,339621,346265,346267,344633,344667,348300,354783,365664,368998,369181,366853,365281,363431
394732,190,"Kalamazoo, MI",MI,198233,216567,231567,238233,236567,229900,223067,219733,218100,216600,211617,212950,217316,228966,236300,241933,241938,240905,235905,232322,228022,225722,218667,215333,220967,237967,247800,246133,243100,243267,244933,241600,234933,228300,221667,226000,235000,244967,247300,247967,247967,247933,248233,248017,243017,233033,224950,228283,238267,251233,257900,264267,266267,274633,277967,277900,269233,259533,252800,256467,264800,273283,278283,283283,283300,280967,276000,272333
394811,191,"Lynchburg, VA",VA,216433,222767,226567,229900,228267,226600,223800,223767,222100,222831,222831,225865,231133,234483,238050,238050,239067,235833,235667,234917,234817,230717,227117,228850,232950,235950,239283,242617,244608,242958,239258,237583,234250,231583,229917,235233,236900,243600,246600,257442,260425,258792,261317,263300,265783,260750,255600,253083,254783,264933,274933,283183,282117,282117,278197,279263,283945,284178,283878,282530,288050,295017,305017,309900,316567,313017,313017,309683
394455,192,"Charleston, WV",WV,132333,134633,137933,139300,139300,139000,138667,137333,136000,134750,134750,135567,137450,140783,143600,145633,145633,144300,142300,140633,141500,141500,141133,139600,139750,143200,146567,151417,152417,154050,152350,149900,146167,142867,141200,138383,138350,138350,139933,138675,141042,141442,144400,143733,143300,144467,143300,144000,142800,143967,147467,149167,150800,146967,145300,143083,142750,140916,140666,145667,149150,154733,159067,165083,167150,164483,161817,159967
395240,193,"Yakima, WA",WA,259333,269000,274333,274667,270000,267833,269500,271133,273300,278133,281167,289167,294333,301083,299067,300400,298983,301300,297967,301300,301300,301600,298267,294783,294650,301317,311475,319142,322475,324167,322500,319167,319167,321500,324833,323150,324317,327467,335817,341633,345983,344067,345583,346417,353000,352967,352933,349933,352717,365417,378217,390300,394267,396450,393283,384983,376667,370000,365833,362500,363333,368833,381833,391000,397667,403000,407833,407833
