RegionID,SizeRank,RegionName,StateName,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023
394361,202,"Barnstable Town, MA",MA,367033,372867,378833,386333,389667,385000,381667,394983,399983,389983,373333,366633,375800,380800,387167,398000,397967,401633,396633,400000,399000,392333,384000,380833,391500,401967,411133,413800,428333,442667,462667,474333,491667,491667,492500,480833,482500,501333,516167,532833,524433,526267,524600,539000,548500,555500,543833,541000,540667,571667,592333,602333,604000,605000,610667,609000,615667,612667,596000,581667,584667,606333,618983,633317,631650,639000,647333,665967
394519,203,"Daphne, AL",AL,213550,224050,228300,228300,224700,226400,223233,224167,227167,230317,230983,226467,223817,228233,241417,255750,260833,255833,247500,244333,247667,248667,254333,256000,258333,253333,246633,252950,260810,279177,282860,276000,272667,274856,280523,277189,294667,308000,323000,319000,321333,327667,323667,329667,333333,353500,354500,356500,351333,365333,371667,378333,374500,372500,370500,369667,364650,362317,355317,365833,370167,381817,374983,367983,366333,365000,361983,365983
394378,205,"Bellingham, WA",WA,331000,334667,339667,350000,353333,355000,351667,351667,351750,348833,348833,349750,349625,361292,366958,381500,378167,376167,370326,376993,378909,379250,365817,370233,378233,388500,392317,397650,406817,417000,428322,437322,436170,432182,429848,431833,441833,458167,484000,503333,512500,520500,522833,533000,533333,535000,525667,525000,542667,564500,586833,596250,589500,581542,561792,549375,537333,548167,547500,550833,529333,543333,540000,560000,549167,547500,537500,553333
395030,207,"Rochester, MN",MN,189150,187234,195133,200767,206050,208067,201667,201417,195917,194417,195633,196133,200967,205800,212467,219133,219333,221650,218283,215400,212083,213288,215172,224172,226333,230000,227000,228667,232084,237050,240800,243717,245417,241667,235000,227250,229342,236134,245550,258459,263333,266667,265000,266317,264650,263650,260667,270633,272133,280450,283817,294983,294167,288833,277167,275833,277587,272587,267070,258983,265650,272967,284633,291300,295000,290000,283300,281633
753895,208,"Lafayette, IN",IN,141650,144167,152467,158300,160186,160220,154220,152590,150923,148340,147500,147191,145345,149262,155871,170076,178409,174776,169300,163217,167217,167233,163317,159983,164000,169000,175333,179833,183167,183633,184800,188467,188900,184233,183900,178667,180489,180695,190862,199039,202167,205000,207083,203750,200417,195802,196136,192469,194467,199133,214467,225000,232333,229833,219833,222500,213667,211333,198500,201500,214500,222500,235984,242299,255465,255315,249872,245205
394454,209,"Champaign, IL",IL,135833,139500,142333,147278,148278,147445,145333,140000,133833,132167,138500,142333,138750,137250,139417,144167,148333,152000,153333,154000,150250,152250,141583,135833,131833,140167,149333,154333,155500,158500,160167,160667,161667,153333,151333,143000,151000,152000,163500,167000,173000,170500,162417,157417,156917,160167,162167,164333,164333,170667,173333,180667,180000,178833,172333,168000,164417,160250,150583,147333,150667,163317,170817,184150,187833,188833,185095,185179
394848,210,"Medford, OR",OR,278633,277800,289917,294583,298567,301483,297983,293167,284567,286733,284400,287833,286000,291667,298410,306577,311577,316667,314983,313317,306317,308000,313500,312167,315500,316667,317500,320833,329167,347500,351333,351667,349167,352667,357667,352667,362000,366667,391667,396667,395267,393273,393273,397340,397333,397917,401667,408667,414917,427900,427900,437733,440250,445250,431917,425000,415633,410633,407800,403817,405483,404967,417567,434233,435917,433333,425667,420167
845164,211,"Lebanon, NH",NH,195839,202667,202667,209333,205000,194922,193256,193589,202000,202000,193333,181333,182178,195022,209022,209844,208667,205000,210000,208333,203333,205833,198744,198411,190911,207667,219667,236333,238667,248667,251833,261500,256500,255822,246489,242156,238000,252333,264833,282478,283515,293682,294371,293333,281667,268244,269911,274733,276822,291156,309667,331000,335555,329744,327244,316689,314167,310000,326667,323000,328422,311756,331256,347167,374678,378433,373767,380011
394459,212,"Charlottesville, VA",VA,254167,270333,277183,286183,284183,282500,272500,261943,258263,262563,266787,264467,264500,274050,291550,309550,312333,307333,284333,279417,270567,282233,277817,282333,286333,303000,317258,321467,316133,311208,314158,315491,330274,330783,334117,322667,328333,338167,368167,376750,381917,358583,347667,338333,340500,357333,360667,361833,355000,369767,389767,417267,419167,415500,382667,372167,372467,386133,380800,371500,360833,384917,403708,427708,421125,418500,406833,410500
394763,213,"Lake Charles, LA",LA,183975,181910,183743,186669,183667,180000,182667,176667,185333,178000,183167,166500,175167,172000,183250,182917,194917,197333,199267,191267,183600,181333,187333,188167,186833,186833,188667,195333,188500,199833,212000,213833,201833,184667,177967,168300,160300,161833,170267,177600,182767,184667,189392,191026,203359,202300,199000,189667,194250,204917,205750,198667,193000,192167,188333,190000,186667,181667,173333,174667,193000,206317,211817,205317,202667,199167,199667,184333
